uid,p2overhead
unit.000814,0.01104
unit.000815,0.010597
unit.000816,0.01064
unit.000817,0.008647
unit.000818,0.009758
unit.000819,0.008575
unit.000820,0.010882
unit.000821,0.028006
unit.000822,0.007427
unit.000823,0.009733
unit.000824,0.010195
unit.000825,0.008628
unit.000826,0.00964
unit.000827,0.009397
unit.000828,0.00689
unit.000829,0.00946
unit.000830,0.011629
unit.000831,0.008919
unit.000832,0.008419
unit.000833,0.066628
unit.000834,0.008945
unit.000835,0.00933
unit.000836,0.008232
unit.000837,0.010666
unit.000838,0.010125
unit.000839,0.009235
unit.000840,0.011941
unit.000841,0.016908
unit.000842,0.010308
unit.000843,0.010736
unit.000844,0.010649
unit.000845,0.010168
unit.000846,0.010528
unit.000847,0.010728
unit.000848,0.010313
unit.000849,0.01001
unit.000850,0.010733
unit.000851,0.008932
unit.000852,0.010275
unit.000853,0.010778
unit.000854,0.089917
unit.000855,0.008959
unit.000856,0.011046
unit.000857,0.010406
unit.000858,0.010108
unit.000859,0.010613
unit.000860,0.011089
unit.000861,0.011987
unit.000862,0.042073
unit.000863,0.008507
unit.000864,0.010472
unit.000865,0.008821
unit.000866,0.008689
unit.000867,0.008614
unit.000868,0.01041
unit.000869,0.009497
unit.000870,0.008895
unit.000871,0.008701
unit.000872,0.009135
unit.000873,0.008815
unit.000874,0.06582
unit.000875,0.009346
unit.000876,0.010131
unit.000877,0.009432
unit.000878,0.009143
unit.000879,0.009683
unit.000880,0.009459
unit.000881,0.010669
unit.000882,0.009589
unit.000883,0.010187
unit.000884,0.010903
unit.000885,0.011262
unit.000886,0.010845
unit.000887,0.010567
unit.000888,0.010093
unit.000889,0.010784
unit.000890,0.011037
unit.000891,0.010837
unit.000892,0.010871
unit.000893,0.010643
unit.000894,0.010279
unit.000895,0.092129
unit.000896,0.01028
unit.000897,0.01063
unit.000898,0.010734
unit.000899,0.010317
unit.000900,0.010735
unit.000901,0.01011
unit.000902,0.010197
unit.000903,0.043688
unit.000904,0.009415
unit.000905,0.009611
unit.000906,0.010335
unit.000907,0.009466
unit.000908,0.008148
unit.000909,0.00906
unit.000910,0.010015
unit.000911,0.009157
unit.000912,0.009738
unit.000913,0.010169
unit.000914,0.010142
unit.000915,0.061487
unit.000916,0.008019
unit.000917,0.009956
unit.000918,0.009762
unit.000919,0.010693
unit.000920,0.010027
unit.000921,0.011716
unit.000922,0.009841
unit.000923,0.009643
unit.000924,0.010796
unit.000925,0.011279
unit.000926,0.011177
unit.000927,0.011812
unit.000928,0.008994
unit.000929,0.010573
unit.000930,0.010626
unit.000931,0.010432
unit.000932,0.014737
unit.000933,0.009726
unit.000934,0.010757
unit.000935,0.010994
unit.000936,0.083813
unit.000937,0.011178
unit.000938,0.011235
unit.000939,0.009581
unit.000940,0.009621
unit.000941,0.009299
unit.000942,0.009466
unit.000943,0.010606
unit.000944,0.046174
unit.000945,0.00907
unit.000946,0.009299
unit.000947,0.011238
unit.000948,0.010919
unit.000949,0.010563
unit.000950,0.01124
unit.000951,0.009332
unit.000952,0.009858
unit.000953,0.021674
unit.000954,0.009194
unit.000955,0.007149
unit.000956,0.100519
unit.000957,0.008144
unit.000958,0.010171
unit.000959,0.007697
unit.000960,0.010278
unit.000961,0.008191
unit.000962,0.007767
unit.000963,0.007664
unit.000964,0.007304
unit.000965,0.011371
unit.000966,0.008434
unit.000967,0.008587
unit.000968,0.010369
unit.000969,0.012223
unit.000970,0.01247
unit.000971,0.010617
unit.000972,0.008706
unit.000973,0.008743
unit.000974,0.008462
unit.000975,0.008814
unit.000976,0.011883
unit.000977,0.099737
unit.000978,0.009957
unit.000979,0.011746
unit.000980,0.011397
unit.000981,0.010525
unit.000982,0.010509
unit.000983,0.010509
unit.000984,0.010293
unit.000985,0.048845
unit.000986,0.009429
unit.000987,0.008972
unit.000988,0.008348
unit.000989,0.007874
unit.000990,0.00889
unit.000991,0.008564
unit.000992,0.008944
unit.000993,0.008967
unit.000994,0.008722
unit.000995,0.008488
unit.000996,0.008241
unit.000997,0.063471
unit.000998,0.009275
unit.000999,0.008963
unit.001000,0.009557
unit.001001,0.009116
unit.001002,0.009875
unit.001003,0.00798
unit.001004,0.009923
unit.001005,0.009407
unit.001006,0.010542
unit.001007,0.011105
unit.001008,0.010355
unit.001009,0.010168
unit.001010,0.010752
unit.001011,0.010738
unit.001012,0.010329
unit.001013,0.010721
unit.001014,0.01056
unit.001015,0.009831
unit.001016,0.010847
unit.001017,0.010525
unit.001018,0.109306
unit.001019,0.01058
unit.001020,0.009653
unit.001021,0.010099
unit.001022,0.009403
unit.001023,0.009102
unit.001024,0.008854
unit.001025,0.008906
unit.001026,0.044169
unit.001027,0.011461
unit.001028,0.016377
unit.001029,0.010935
unit.001030,0.009685
unit.001031,0.010922
unit.001032,0.009811
unit.001033,0.010131
unit.001034,0.010332
unit.001035,0.009971
unit.001036,0.010335
unit.001037,0.010358
unit.001038,0.130535
unit.001039,0.008728
unit.001040,0.011791
unit.001041,0.010087
unit.001042,0.010848
unit.001043,0.010383
unit.001044,0.010875
unit.001045,0.010251
unit.001046,0.009776
unit.001047,0.009868
unit.001048,0.009134
unit.001049,0.008896
unit.001050,0.007486
unit.001051,0.009221
unit.001052,0.009696
unit.001053,0.009387
unit.001054,0.007345
unit.001055,0.009368
unit.001056,0.008865
unit.001057,0.007259
unit.001058,0.009253
unit.001059,0.062657
unit.001060,0.010057
unit.001061,0.007742
unit.001062,0.009406
unit.001063,0.009661
unit.001064,0.010139
unit.001065,0.010028
unit.001066,0.009826
unit.001067,0.039101
unit.001068,0.010658
unit.001069,0.010199
unit.001070,0.009334
unit.001071,0.009286
unit.001072,0.008614
unit.001073,0.009821
unit.001074,0.008978
unit.001075,0.008936
unit.001076,0.009196
unit.001077,0.009131
unit.001078,0.0069
unit.001079,0.099054
